	movie_ids
0	10059
1	10143
2	10156
3	10157
4	10178
5	10227
6	10234
7	10241
8	3189
9	3207
10	3216
11	3233
12	3239
13	3323
14	3366
15	3467
16	3854
17	3906
18	3961
19	4057
20	4064
21	4068
22	4072
23	4076
24	4132
25	4152
26	4252
27	4354
28	4681
29	4869
30	4999
31	5000
32	5044
33	5076
34	5078
35	5123
36	5161
37	5171
38	5324
39	5914
40	5915
41	5959
42	6057
43	6058
44	6097
45	6163
46	6166
47	6185
48	6425
49	7062
50	7149
51	7202
52	7212
53	7232
54	7235
55	7247
56	7320
57	7755
58	8779
59	8860
60	8862
61	8865
62	8901
63	8903
64	8929
65	8935
66	8939
67	9417
68	9419
69	9420
70	9432
71	9438
72	9441
73	9443
74	9448
75	9514
76	9739
77	9753
78	9775
79	9779
80	9782
81	9797
82	9807
83	9816
84	9818
85	9821
